0.000000,0.408640,0.758560,0.758560
0.988574,0.001199,0.001706,0.001706
1.977149,0.005263,0.003318,0.003318
2.965723,0.001064,0.000591,0.000591
3.954297,0.006607,0.004159,0.004159
4.942872,0.002735,0.001296,0.001296
5.931446,0.005144,0.004662,0.004662
6.920021,0.004441,0.004061,0.004061
7.908595,0.002501,0.001308,0.001308
8.897169,0.004450,0.000715,0.000715
9.885744,0.003942,0.000826,0.000826
10.874318,0.006152,0.002592,0.002592
11.862892,0.008445,0.002692,0.002692
12.851467,0.005544,0.001734,0.001734
13.840041,0.006072,0.001375,0.001375
14.828615,0.008259,0.003327,0.003327
15.817190,0.009812,0.001293,0.001293
16.805764,0.003417,0.002389,0.002389
17.794338,0.004934,0.004773,0.004773
18.782913,0.004174,0.007797,0.007797
19.771487,0.006440,0.002057,0.002057
20.760062,0.001652,0.001490,0.001490
21.748636,0.000827,0.001766,0.001766
22.737210,0.001585,0.001954,0.001954
23.725785,0.001863,0.001126,0.001126
